;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;label_propagation_uncertainty_treshold;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;learning_rate;;;;;;;;
Cora;model;42;0.4;16;128;0.5;1;0.003;0.653977968176255;0.0742600013821854;0.607410043825223;0.0969559050215055;0.90952380952381;0.0558946567036794;0.881294339436379;0.0924243891534507
Cora;model;49;0.4;16;128;0.5;1;0.003;0.717992656058752;0.04444805650867;0.695234509615436;0.0485922581566909;0.924489795918367;0.0509523355403374;0.909001987859025;0.0581538501275748
Cora;model;56;0.4;16;128;0.5;1;0.003;0.744553243574051;0.0307330159608072;0.717015129740353;0.0410306111577125;0.928571428571429;0.0314970394174356;0.915015089713818;0.0318301049173339
Cora;model;63;0.4;16;128;0.5;1;0.003;0.766952264381885;0.0184926517819213;0.737942389390711;0.033340644005887;0.922222222222222;0.0253195473312284;0.904339687444808;0.0338098152890494
Cora;model;70;0.4;16;128;0.5;1;0.003;0.765483476132191;0.0262085112011172;0.739258976734934;0.0370142986677334;0.902857142857143;0.0307133628506612;0.889155579221108;0.0305953057089742
Cora;model;77;0.4;16;128;0.5;1;0.003;0.774296205630355;0.0201882128122063;0.751512783431213;0.0249461172563539;0.893506493506493;0.0265449518904864;0.880537285100629;0.030432953165825
Cora;model;84;0.4;16;128;0.5;1;0.003;0.778335373317013;0.0227488823765145;0.755099616942174;0.0259600448549327;0.882142857142857;0.0378339251954064;0.870485615583136;0.045557247047953
Cora;model;91;0.4;16;128;0.5;1;0.003;0.784700122399021;0.0194426605510413;0.762521132070771;0.0248983306190515;0.889010989010989;0.0409372412335488;0.879536228762131;0.0414079996585634
Cora;model;98;0.4;16;128;0.5;1;0.003;0.787270501835985;0.0188103752512777;0.765548315204542;0.026619011281603;0.891836734693877;0.0347538497263804;0.880142271107023;0.0385741904639551
Cora;model;105;0.4;16;128;0.5;1;0.003;0.794002447980416;0.01710718199735;0.775444766019664;0.0260106977940237;0.90952380952381;0.0368171857293435;0.899517745059177;0.042476764267257
Cora;model;112;0.4;16;128;0.5;1;0.003;0.791309669522644;0.0171770986821876;0.775247957611313;0.0237227978457842;0.892857142857143;0.0341938252770121;0.886362675456712;0.0384830966472246
